FID,state,rate,year
prodes_rates_d.262,AMZ,21050,1988
prodes_rates_d.263,AMZ,17770,1989
prodes_rates_d.264,AMZ,13730,1990
prodes_rates_d.265,AMZ,11030,1991
prodes_rates_d.266,AMZ,13786,1992
prodes_rates_d.267,AMZ,14896,1993
prodes_rates_d.268,AMZ,14896,1994
prodes_rates_d.269,AMZ,29059,1995
prodes_rates_d.270,AMZ,18161,1996
prodes_rates_d.271,AMZ,13227,1997
prodes_rates_d.272,AMZ,17383,1998
prodes_rates_d.273,AMZ,17259,1999
prodes_rates_d.274,AMZ,18226,2000
prodes_rates_d.275,AMZ,18165,2001
prodes_rates_d.276,AMZ,21650,2002
prodes_rates_d.277,AMZ,25396,2003
prodes_rates_d.278,AMZ,27772,2004
prodes_rates_d.279,AMZ,19014,2005
prodes_rates_d.280,AMZ,14286,2006
prodes_rates_d.281,AMZ,11651,2007
prodes_rates_d.282,AMZ,12911,2008
prodes_rates_d.283,AMZ,7464,2009
prodes_rates_d.284,AMZ,7000,2010
prodes_rates_d.285,AMZ,6418,2011
prodes_rates_d.286,AMZ,4571,2012
prodes_rates_d.287,AMZ,5891,2013
prodes_rates_d.288,AMZ,5012,2014
prodes_rates_d.289,AMZ,6207,2015
prodes_rates_d.290,AMZ,7893,2016
prodes_rates_d.291,AC,244,2017
prodes_rates_d.292,AM,965,2017
prodes_rates_d.293,AP,31,2017
prodes_rates_d.294,MA,237,2017
prodes_rates_d.295,MT,1341,2017
prodes_rates_d.296,PA,2413,2017
prodes_rates_d.297,RO,1252,2017
prodes_rates_d.298,RR,115,2017
prodes_rates_d.299,TO,26,2017
prodes_rates_d.300,AMZ,6624,2017
prodes_rates_d.1,AC,620,1988
prodes_rates_d.2,AC,540,1989
prodes_rates_d.3,AC,550,1990
prodes_rates_d.4,AC,380,1991
prodes_rates_d.5,AC,400,1992
prodes_rates_d.6,AC,482,1993
prodes_rates_d.7,AC,482,1994
prodes_rates_d.8,AC,1208,1995
prodes_rates_d.9,AC,433,1996
prodes_rates_d.10,AC,358,1997
prodes_rates_d.11,AC,536,1998
prodes_rates_d.12,AC,441,1999
prodes_rates_d.13,AC,547,2000
prodes_rates_d.14,AC,419,2001
prodes_rates_d.15,AC,883,2002
prodes_rates_d.16,AC,1078,2003
prodes_rates_d.17,AC,728,2004
prodes_rates_d.18,AC,592,2005
prodes_rates_d.19,AC,398,2006
prodes_rates_d.20,AC,184,2007
prodes_rates_d.21,AC,254,2008
prodes_rates_d.22,AC,167,2009
prodes_rates_d.23,AC,259,2010
prodes_rates_d.24,AC,280,2011
prodes_rates_d.25,AC,305,2012
prodes_rates_d.26,AC,221,2013
prodes_rates_d.27,AC,309,2014
prodes_rates_d.28,AC,264,2015
prodes_rates_d.29,AC,372,2016
prodes_rates_d.30,AM,1510,1988
prodes_rates_d.31,AM,1180,1989
prodes_rates_d.32,AM,520,1990
prodes_rates_d.33,AM,980,1991
prodes_rates_d.34,AM,799,1992
prodes_rates_d.35,AM,370,1993
prodes_rates_d.36,AM,370,1994
prodes_rates_d.37,AM,2114,1995
prodes_rates_d.38,AM,1023,1996
prodes_rates_d.39,AM,589,1997
prodes_rates_d.40,AM,670,1998
prodes_rates_d.41,AM,720,1999
prodes_rates_d.42,AM,612,2000
prodes_rates_d.43,AM,634,2001
prodes_rates_d.44,AM,885,2002
prodes_rates_d.45,AM,1558,2003
prodes_rates_d.46,AM,1232,2004
prodes_rates_d.47,AM,775,2005
prodes_rates_d.48,AM,788,2006
prodes_rates_d.49,AM,610,2007
prodes_rates_d.50,AM,604,2008
prodes_rates_d.51,AM,405,2009
prodes_rates_d.52,AM,595,2010
prodes_rates_d.53,AM,502,2011
prodes_rates_d.54,AM,523,2012
prodes_rates_d.55,AM,583,2013
prodes_rates_d.56,AM,500,2014
prodes_rates_d.57,AM,712,2015
prodes_rates_d.58,AM,1129,2016
prodes_rates_d.59,AP,60,1988
prodes_rates_d.60,AP,130,1989
prodes_rates_d.61,AP,250,1990
prodes_rates_d.62,AP,410,1991
prodes_rates_d.63,AP,36,1992
prodes_rates_d.64,AP,0,1993
prodes_rates_d.65,AP,0,1994
prodes_rates_d.66,AP,9,1995
prodes_rates_d.67,AP,0,1996
prodes_rates_d.68,AP,18,1997
prodes_rates_d.69,AP,30,1998
prodes_rates_d.70,AP,0,1999
prodes_rates_d.71,AP,0,2000
prodes_rates_d.72,AP,7,2001
prodes_rates_d.73,AP,0,2002
prodes_rates_d.74,AP,25,2003
prodes_rates_d.75,AP,46,2004
prodes_rates_d.76,AP,33,2005
prodes_rates_d.77,AP,30,2006
prodes_rates_d.78,AP,39,2007
prodes_rates_d.79,AP,100,2008
prodes_rates_d.80,AP,70,2009
prodes_rates_d.81,AP,53,2010
prodes_rates_d.82,AP,66,2011
prodes_rates_d.83,AP,27,2012
prodes_rates_d.84,AP,23,2013
prodes_rates_d.85,AP,31,2014
prodes_rates_d.86,AP,25,2015
prodes_rates_d.87,AP,17,2016
prodes_rates_d.88,MA,2450,1988
prodes_rates_d.89,MA,1420,1989
prodes_rates_d.90,MA,1100,1990
prodes_rates_d.91,MA,670,1991
prodes_rates_d.92,MA,1135,1992
prodes_rates_d.93,MA,372,1993
prodes_rates_d.94,MA,372,1994
prodes_rates_d.95,MA,1745,1995
prodes_rates_d.96,MA,1061,1996
prodes_rates_d.97,MA,409,1997
prodes_rates_d.98,MA,1012,1998
prodes_rates_d.99,MA,1230,1999
prodes_rates_d.100,MA,1065,2000
prodes_rates_d.101,MA,958,2001
prodes_rates_d.102,MA,1085,2002
prodes_rates_d.103,MA,993,2003
prodes_rates_d.104,MA,755,2004
prodes_rates_d.105,MA,922,2005
prodes_rates_d.106,MA,674,2006
prodes_rates_d.107,MA,631,2007
prodes_rates_d.108,MA,1271,2008
prodes_rates_d.109,MA,828,2009
prodes_rates_d.110,MA,712,2010
prodes_rates_d.111,MA,396,2011
prodes_rates_d.112,MA,269,2012
prodes_rates_d.113,MA,403,2013
prodes_rates_d.114,MA,257,2014
prodes_rates_d.115,MA,209,2015
prodes_rates_d.116,MA,258,2016
prodes_rates_d.117,MT,5140,1988
prodes_rates_d.118,MT,5960,1989
prodes_rates_d.119,MT,4020,1990
prodes_rates_d.120,MT,2840,1991
prodes_rates_d.121,MT,4674,1992
prodes_rates_d.122,MT,6220,1993
prodes_rates_d.123,MT,6220,1994
prodes_rates_d.124,MT,10391,1995
prodes_rates_d.125,MT,6543,1996
prodes_rates_d.126,MT,5271,1997
prodes_rates_d.127,MT,6466,1998
prodes_rates_d.128,MT,6963,1999
prodes_rates_d.129,MT,6369,2000
prodes_rates_d.130,MT,7703,2001
prodes_rates_d.131,MT,7892,2002
prodes_rates_d.132,MT,10405,2003
prodes_rates_d.133,MT,11814,2004
prodes_rates_d.134,MT,7145,2005
prodes_rates_d.135,MT,4333,2006
prodes_rates_d.136,MT,2678,2007
prodes_rates_d.137,MT,3258,2008
prodes_rates_d.138,MT,1049,2009
prodes_rates_d.139,MT,871,2010
prodes_rates_d.140,MT,1120,2011
prodes_rates_d.141,MT,757,2012
prodes_rates_d.142,MT,1139,2013
prodes_rates_d.143,MT,1075,2014
prodes_rates_d.144,MT,1601,2015
prodes_rates_d.145,MT,1489,2016
prodes_rates_d.146,PA,6990,1988
prodes_rates_d.147,PA,5750,1989
prodes_rates_d.148,PA,4890,1990
prodes_rates_d.149,PA,3780,1991
prodes_rates_d.150,PA,3787,1992
prodes_rates_d.151,PA,4284,1993
prodes_rates_d.152,PA,4284,1994
prodes_rates_d.153,PA,7845,1995
prodes_rates_d.154,PA,6135,1996
prodes_rates_d.155,PA,4139,1997
prodes_rates_d.156,PA,5829,1998
prodes_rates_d.157,PA,5111,1999
prodes_rates_d.158,PA,6671,2000
prodes_rates_d.159,PA,5237,2001
prodes_rates_d.160,PA,7510,2002
prodes_rates_d.161,PA,7145,2003
prodes_rates_d.162,PA,8870,2004
prodes_rates_d.163,PA,5899,2005
prodes_rates_d.164,PA,5659,2006
prodes_rates_d.165,PA,5526,2007
prodes_rates_d.166,PA,5607,2008
prodes_rates_d.167,PA,4281,2009
prodes_rates_d.168,PA,3770,2010
prodes_rates_d.169,PA,3008,2011
prodes_rates_d.170,PA,1741,2012
prodes_rates_d.171,PA,2346,2013
prodes_rates_d.172,PA,1887,2014
prodes_rates_d.173,PA,2153,2015
prodes_rates_d.174,PA,2992,2016
prodes_rates_d.175,RR,290,1988
prodes_rates_d.176,RR,630,1989
prodes_rates_d.177,RR,150,1990
prodes_rates_d.178,RR,420,1991
prodes_rates_d.179,RR,281,1992
prodes_rates_d.180,RR,240,1993
prodes_rates_d.181,RR,240,1994
prodes_rates_d.182,RR,220,1995
prodes_rates_d.183,RR,214,1996
prodes_rates_d.184,RR,184,1997
prodes_rates_d.185,RR,223,1998
